   51.96,       0,  -25.98,   25.98,       0,       0,       0,       0,       0,       0
       0,   69.28,  -25.98,   17.32,       0,       0,       0,       0,       0,       0
  -25.98,  -25.98,   51.96,       0,  -25.98,   25.98,       0,       0,       0,       0
   25.98,   17.32,       0,   69.28,  -25.98,   17.32,       0,       0,       0,       0
       0,       0,  -25.98,  -25.98,   51.96,       0,  -25.98,   25.98,       0,       0
       0,       0,   25.98,   17.32,       0,   69.28,  -25.98,   17.32,       0,       0
       0,       0,       0,       0,  -25.98,  -25.98,   51.96,       0,  -25.98,   25.98
       0,       0,       0,       0,   25.98,   17.32,       0,   69.28,  -25.98,   17.32
       0,       0,       0,       0,       0,       0,  -25.98,  -25.98,   51.96,       0
       0,       0,       0,       0,       0,       0,   25.98,   17.32,       0,   69.28
